Iteration	Likelihood	Prior	p	r
0	-28.90305	2.270157	0.003242852	0.003242852
100	-3.121671	0.4099969	0.1892588	0.1892588
200	-1.727825	-0.9105378	0.3213123	0.3213123
300	-2.548941	0.08817668	0.2214408	0.2214408
400	-1.695201	-1.299712	0.3602297	0.3602297
500	-8.226052	1.593932	0.07086527	0.07086527
600	-1.788699	-0.735981	0.3038566	0.3038566
700	-2.7055	0.1875744	0.2115011	0.2115011
800	-1.971005	-2.018534	0.4321119	0.4321119
900	-1.910047	-0.5163932	0.2818978	0.2818978
1000	-1.843651	-0.6247976	0.2927383	0.2927383
1100	-1.718271	-1.450724	0.3753309	0.3753309
1200	-2.321136	-0.07942401	0.2382009	0.2382009
1300	-2.354645	-0.05265568	0.2355241	0.2355241
1400	-1.690766	-1.18062	0.3483205	0.3483205
1500	-1.704525	-1.021141	0.3323727	0.3323727
1600	-2.527598	0.07375133	0.2228834	0.2228834
1700	-2.039418	-0.3485281	0.2651113	0.2651113
1800	-1.823498	-1.758677	0.4061262	0.4061262
1900	-1.697446	-1.073694	0.337628	0.337628
2000	-2.065159	-2.149298	0.4451883	0.4451883
2100	-2.189142	-0.1941352	0.249672	0.249672
2200	-2.880757	0.2875974	0.2014988	0.2014988
2300	-1.894174	-0.5404713	0.2843056	0.2843056
2400	-1.70626	-1.387403	0.3689988	0.3689988
2500	-5.940782	1.248817	0.1053768	0.1053768
2600	-1.753484	-0.8261461	0.3128731	0.3128731
2700	-2.568921	0.1014761	0.2201109	0.2201109
2800	-1.770486	-1.630768	0.3933353	0.3933353
2900	-1.691265	-1.159805	0.346239	0.346239
3000	-3.047448	0.3739097	0.1928675	0.1928675
3100	-1.840807	-1.79476	0.4097345	0.4097345
3200	-1.714816	-0.9654537	0.3268039	0.3268039
3300	-2.687613	0.176743	0.2125842	0.2125842
3400	-1.763648	-1.611529	0.3914114	0.3914114
3500	-1.881249	-0.5608462	0.2863431	0.2863431
3600	-3.00728	0.3538058	0.1948779	0.1948779
3700	-2.405962	-0.01321519	0.23158	0.23158
3800	-2.332301	-0.07041115	0.2372996	0.2372996
3900	-3.910347	0.728401	0.1574184	0.1574184
4000	-3.227471	0.45923	0.1843355	0.1843355
4100	-2.511312	0.06258675	0.2239998	0.2239998
4200	-2.819511	0.2538285	0.2048757	0.2048757
4300	-2.065334	-0.3193937	0.2621979	0.2621979
4400	-2.543216	0.08432967	0.2218255	0.2218255
4500	-1.726692	-1.487153	0.3789738	0.3789738
4600	-4.647563	0.9534417	0.1349143	0.1349143
4700	-5.347749	1.125769	0.1176816	0.1176816
4800	-4.421844	0.8900739	0.1412511	0.1412511
4900	-2.242571	-0.1457479	0.2448333	0.2448333
5000	-1.783165	-0.748862	0.3051447	0.3051447
5100	-1.705629	-1.014329	0.3316914	0.3316914
5200	-2.1591	-0.2226948	0.252528	0.252528
5300	-2.24584	-0.1428793	0.2445464	0.2445464
5400	-2.38626	-2.502897	0.4805482	0.4805482
5500	-3.356557	-3.227726	0.5530311	0.5530311
5600	-2.065996	-0.3186648	0.262125	0.262125
5700	-2.03811	-2.113562	0.4416147	0.4416147
5800	-3.89875	0.7243991	0.1578186	0.1578186
5900	-2.015994	-0.3759389	0.2678524	0.2678524
6000	-3.692508	0.6503202	0.1652265	0.1652265
6100	-1.695881	-1.307106	0.3609692	0.3609692
6200	-1.823218	-0.6631622	0.2965747	0.2965747
6300	-3.935593	0.737056	0.1565529	0.1565529
6400	-3.278323	0.4820381	0.1820547	0.1820547
6500	-4.093029	0.78934	0.1513245	0.1513245
6600	-1.921873	-0.4990702	0.2801655	0.2801655
6700	-1.721797	-0.9344959	0.3237081	0.3237081
6800	-2.460245	0.02665076	0.2275934	0.2275934
6900	-1.980499	-0.4196871	0.2722272	0.2722272
7000	-2.006317	-0.3875877	0.2690173	0.2690173
7100	-4.993165	1.042676	0.1259909	0.1259909
7200	-1.691495	-1.153432	0.3456017	0.3456017
7300	-2.120733	-0.2607709	0.2563356	0.2563356
7400	-1.775264	-1.643737	0.3946322	0.3946322
7500	-1.690839	-1.176235	0.347882	0.347882
7600	-1.817676	-1.746032	0.4048617	0.4048617
7700	-2.095122	-0.2872964	0.2589882	0.2589882
7800	-2.951344	0.325095	0.197749	0.197749
7900	-1.937873	-0.4763932	0.2778978	0.2778978
8000	-2.100478	-0.2816707	0.2584256	0.2584256
8100	-2.402289	-0.01597948	0.2318565	0.2318565
8200	-1.803932	-0.7023985	0.3004984	0.3004984
8300	-1.742784	-0.8586326	0.3161218	0.3161218
8400	-1.953244	-0.4553615	0.2757947	0.2757947
8500	-3.07939	0.3896048	0.191298	0.191298
8600	-1.86473	-0.5880149	0.28906	0.28906
8700	-2.073853	-0.3100699	0.2612655	0.2612655
8800	-2.965725	0.3325581	0.1970027	0.1970027
8900	-1.691876	-1.14454	0.3447125	0.3447125
9000	-1.740451	-1.538614	0.3841199	0.3841199
9100	-3.127373	-3.082637	0.5385222	0.5385222
9200	-2.136096	-0.2452973	0.2547882	0.2547882
9300	-3.340023	0.5090163	0.1793569	0.1793569
9400	-2.084619	-0.2984541	0.2601039	0.2601039
9500	-2.478467	0.03964038	0.2262945	0.2262945
9600	-2.059903	-0.3254019	0.2627987	0.2627987
9700	-1.750826	-1.572917	0.3875502	0.3875502
9800	-2.763851	0.2220639	0.2080521	0.2080521
9900	-1.797272	-0.7167664	0.3019352	0.3019352
10000	-1.711076	-1.414962	0.3717547	0.3717547
10100	-2.064529	-0.3202815	0.2622867	0.2622867
10200	-4.33398	0.8641914	0.1438394	0.1438394
10300	-2.648267	0.1524647	0.215012	0.215012
10400	-1.722357	-1.468991	0.3771576	0.3771576
10500	-1.70166	-1.040233	0.3342818	0.3342818
10600	-2.093405	-0.2891089	0.2591694	0.2591694
10700	-2.842349	0.2665606	0.2036024	0.2036024
10800	-1.690724	-1.211092	0.3513677	0.3513677
10900	-2.761233	0.2205429	0.2082042	0.2082042
11000	-3.71197	0.6575569	0.1645028	0.1645028
11100	-1.69957	-1.055815	0.33584	0.33584
11200	-3.544685	0.593526	0.1709059	0.1709059
11300	-1.867106	-0.5840231	0.2886608	0.2886608
11400	-2.383844	-0.02999432	0.2332579	0.2332579
11500	-1.734817	-1.518509	0.3821094	0.3821094
11600	-2.02975	-0.3597113	0.2662296	0.2662296
11700	-3.566175	0.6019907	0.1700594	0.1700594
11800	-3.276139	0.4810693	0.1821516	0.1821516
11900	-3.967366	0.7478393	0.1554746	0.1554746
12000	-1.753234	-1.580456	0.3883041	0.3883041
12100	-1.845596	-1.804382	0.4106967	0.4106967
12200	-2.450616	0.01970975	0.2282875	0.2282875
12300	-2.303669	-0.09371954	0.2396305	0.2396305
12400	-1.856176	-0.6026351	0.290522	0.290522
12500	-2.217645	-0.1679596	0.2470545	0.2470545
12600	-3.01245	0.3564169	0.1946168	0.1946168
12700	-2.277043	-0.1159925	0.2418578	0.2418578
12800	-1.920154	-1.938855	0.4241441	0.4241441
12900	-3.635114	0.62866	0.1673925	0.1673925
13000	-2.243202	-0.1451933	0.2447778	0.2447778
13100	-2.723795	0.1985247	0.210406	0.210406
13200	-1.749936	-0.8365717	0.3139157	0.3139157
13300	-1.816613	-0.6762343	0.2978819	0.2978819
13400	-3.003794	0.3520412	0.1950544	0.1950544
13500	-1.692233	-1.137409	0.3439994	0.3439994
13600	-2.357235	-0.05062162	0.2353207	0.2353207
13700	-2.171333	-0.2109398	0.2513525	0.2513525
13800	-1.989017	-2.045041	0.4347626	0.4347626
13900	-4.708967	0.9699518	0.1332633	0.1332633
14000	-2.179145	-0.2035238	0.2506109	0.2506109
14100	-2.495943	0.05192278	0.2250662	0.2250662
14200	-3.168404	0.4320508	0.1870534	0.1870534
14300	-1.692391	-1.260668	0.3563254	0.3563254
14400	-1.774141	-1.64072	0.3943305	0.3943305
14500	-1.691891	-1.144217	0.3446802	0.3446802
14600	-2.298114	-0.09831736	0.2400902	0.2400902
14700	-1.732925	-0.8917987	0.3194384	0.3194384
14800	-1.786886	-0.7401588	0.3042744	0.3042744
14900	-2.95534	0.3271742	0.1975411	0.1975411
15000	-2.580284	0.1089542	0.2193631	0.2193631
15100	-1.710667	-0.9860755	0.3288661	0.3288661
15200	-2.250919	-0.1384425	0.2441028	0.2441028
15300	-2.864831	0.2789307	0.2023654	0.2023654
15400	-1.953941	-0.4544231	0.2757008	0.2757008
15500	-1.696467	-1.082891	0.3385476	0.3385476
15600	-3.166613	0.4312148	0.187137	0.187137
15700	-2.583641	0.1111513	0.2191434	0.2191434
15800	-1.754449	-0.8233636	0.3125949	0.3125949
15900	-4.03791	0.7713577	0.1531227	0.1531227
16000	-2.001616	-2.063119	0.4365704	0.4365704
16100	-1.850777	-1.814628	0.4117213	0.4117213
16200	-2.537438	0.08043023	0.2222155	0.2222155
16300	-2.584772	0.1118906	0.2190695	0.2190695
16400	-1.867721	-1.84706	0.4149645	0.4149645
16500	-1.791334	-1.684923	0.3987508	0.3987508
16600	-2.22783	-0.1588095	0.2461395	0.2461395
16700	-2.835798	0.2629259	0.2039659	0.2039659
16800	-1.724899	-0.9218973	0.3224482	0.3224482
16900	-2.29628	-0.09984119	0.2402426	0.2402426
17000	-2.168946	-0.2132198	0.2515805	0.2515805
17100	-3.281772	0.4835661	0.1819019	0.1819019
17200	-3.799819	0.6895693	0.1613016	0.1613016
17300	-2.630096	0.141034	0.2161551	0.2161551
17400	-1.71296	-1.424857	0.3727442	0.3727442
17500	-2.384096	-0.02980132	0.2332386	0.2332386
17600	-1.78411	-0.7466339	0.3049219	0.3049219
17700	-2.555144	0.0923261	0.2210259	0.2210259
17800	-2.774577	0.2282683	0.2074317	0.2074317
17900	-1.747319	-0.8444747	0.314706	0.314706
18000	-1.712187	-0.978288	0.3280873	0.3280873
18100	-1.955452	-0.4523956	0.2754981	0.2754981
18200	-1.913683	-0.5110135	0.2813599	0.2813599
18300	-1.789524	-0.7340941	0.3036679	0.3036679
18400	-3.057576	0.3789138	0.1923671	0.1923671
18500	-2.51606	0.06585629	0.2236729	0.2236729
18600	-1.857532	-1.827749	0.4130334	0.4130334
18700	-1.696016	-1.087393	0.3389978	0.3389978
18800	-1.78419	-0.7464456	0.3049031	0.3049031
18900	-4.517161	0.9173637	0.1385221	0.1385221
19000	-1.836099	-1.785155	0.408774	0.408774
19100	-2.588499	0.1143227	0.2188262	0.2188262
19200	-2.967599	0.3335268	0.1969058	0.1969058
19300	-1.909444	-0.5172906	0.2819876	0.2819876
19400	-1.922546	-0.4980993	0.2800684	0.2800684
19500	-2.221369	-2.334674	0.463726	0.463726
19600	-2.02541	-0.3647905	0.2667376	0.2667376
19700	-3.213968	0.453083	0.1849502	0.1849502
19800	-1.693304	-1.119855	0.342244	0.342244
19900	-1.910314	-0.5159972	0.2818582	0.2818582
20000	-2.995318	0.3477371	0.1954848	0.1954848
20100	-2.318654	-2.436617	0.4739202	0.4739202
