Iteration	Likelihood	Prior	p	r
11700	-3.85449	0.7089718	0.1593613	0.1593613
11800	-2.96769	0.3335735	0.1969012	0.1969012
11900	-1.779627	-0.7573079	0.3059893	0.3059893
12000	-1.813632	-0.6822536	0.2984839	0.2984839
12100	-1.691302	-1.236249	0.3538834	0.3538834
12200	-1.716612	-0.9570917	0.3259677	0.3259677
12300	-1.690997	-1.225876	0.3528461	0.3528461
12400	-1.810629	-0.6883979	0.2990983	0.2990983
12500	-2.671904	0.1671252	0.213546	0.213546
12600	-1.712123	-1.420517	0.3723102	0.3723102
12700	-2.981989	0.3409301	0.1961655	0.1961655
12800	-1.946691	-1.981401	0.4283986	0.4283986
12900	-6.656063	1.375745	0.092684	0.092684
13000	-3.554497	0.5973998	0.1705185	0.1705185
13100	-1.732158	-0.8945398	0.3197125	0.3197125
13200	-3.04261	0.3715106	0.1931075	0.1931075
13300	-1.706435	-1.009512	0.3312097	0.3312097
13400	-1.999507	-0.3959077	0.2698493	0.2698493
13500	-2.321085	-0.07946516	0.238205	0.238205
13600	-1.782768	-0.7498013	0.3052386	0.3052386
13700	-2.631408	0.1418644	0.2160721	0.2160721
13800	-1.936278	-0.4786167	0.2781202	0.2781202
13900	-2.09587	-0.2865081	0.2589093	0.2589093
14000	-1.697276	-1.320916	0.3623501	0.3623501
14100	-3.103948	0.401501	0.1901084	0.1901084
14200	-2.017697	-0.3739091	0.2676494	0.2676494
14300	-1.691794	-1.248727	0.3551312	0.3551312
14400	-1.800458	-0.7098371	0.3012422	0.3012422
14500	-1.703174	-1.029863	0.3332448	0.3332448
14600	-1.765879	-0.791944	0.3094529	0.3094529
14700	-1.804233	-0.7017616	0.3004347	0.3004347
14800	-2.383703	-0.0301029	0.2332688	0.2332688
14900	-2.74979	0.2138674	0.2088718	0.2088718
15000	-2.263508	-0.1275477	0.2430133	0.2430133
15100	-3.103804	0.4014316	0.1901153	0.1901153
15200	-1.704931	-1.379082	0.3681667	0.3681667
15300	-2.296373	-2.414003	0.4716588	0.4716588
15400	-1.782149	-1.661812	0.3964397	0.3964397
15500	-1.78065	-0.7548482	0.3057433	0.3057433
15600	-2.15172	-0.229874	0.2532459	0.2532459
15700	-1.701069	-1.044478	0.3347063	0.3347063
15800	-2.204397	-0.1800187	0.2482604	0.2482604
15900	-5.599729	1.180292	0.1122293	0.1122293
16000	-2.407078	-0.01237752	0.2314963	0.2314963
16100	-1.961935	-0.4437701	0.2746355	0.2746355
16200	-1.691512	-1.241998	0.3544583	0.3544583
16300	-4.768767	0.9857483	0.1316837	0.1316837
16400	-2.771356	-2.830405	0.513299	0.513299
16500	-3.202882	0.4480071	0.1854578	0.1854578
16600	-2.264058	-0.1270743	0.2429659	0.2429659
16700	-1.693253	-1.274756	0.3577341	0.3577341
16800	-4.304381	0.8553093	0.1447276	0.1447276
16900	-3.599895	0.6151263	0.1687459	0.1687459
17000	-1.739995	-0.8676584	0.3170244	0.3170244
