Iteration	Posterior	Likelihood	Prior
0	-0.9470569	0	-0.9470569
100	-0.2509254	0	-0.2509254
200	-0.4747931	0	-0.4747931
300	-0.4708854	0	-0.4708854
400	-0.1716889	0	-0.1716889
500	-0.2080965	0	-0.2080965
600	-0.9850532	0	-0.9850532
700	-0.2565202	0	-0.2565202
800	-0.7173791	0	-0.7173791
900	-0.9615686	0	-0.9615686
1000	-1.893864	0	-1.893864
1100	-0.6123238	0	-0.6123238
1200	-1.176275	0	-1.176275
1300	-2.512451	0	-2.512451
1400	-1.318363	0	-1.318363
1500	-0.1977119	0	-0.1977119
1600	-0.1263044	0	-0.1263044
1700	-1.398131	0	-1.398131
1800	-0.1661234	0	-0.1661234
1900	-1.806794	0	-1.806794
2000	-0.7265608	0	-0.7265608
2100	-3.365164	0	-3.365164
2200	-0.1564364	0	-0.1564364
2300	-0.1828747	0	-0.1828747
2400	-0.7252216	0	-0.7252216
2500	-2.16141	0	-2.16141
2600	-0.3685557	0	-0.3685557
2700	-0.4553221	0	-0.4553221
2800	-1.276161	0	-1.276161
2900	-0.5684237	0	-0.5684237
3000	-1.218258	0	-1.218258
3100	-0.487417	0	-0.487417
3200	-4.53948	0	-4.53948
3300	-2.813433	0	-2.813433
3400	-0.5516849	0	-0.5516849
3500	-0.3482513	0	-0.3482513
3600	-0.6380057	0	-0.6380057
3700	-0.3961959	0	-0.3961959
3800	-0.2531115	0	-0.2531115
3900	-0.01346511	0	-0.01346511
4000	-1.402821	0	-1.402821
4100	-0.4045059	0	-0.4045059
4200	-0.5485184	0	-0.5485184
4300	-2.155819	0	-2.155819
4400	-0.4167587	0	-0.4167587
4500	-1.871929	0	-1.871929
4600	-0.1392994	0	-0.1392994
4700	-0.002998384	0	-0.002998384
4800	-0.4617571	0	-0.4617571
4900	-0.3299579	0	-0.3299579
5000	-1.70008	0	-1.70008
5100	-0.07657909	0	-0.07657909
5200	-2.040022	0	-2.040022
5300	-2.134263	0	-2.134263
5400	-0.3702737	0	-0.3702737
5500	-0.361937	0	-0.361937
5600	-0.67083	0	-0.67083
5700	-1.549868	0	-1.549868
5800	-2.169743	0	-2.169743
5900	-2.625722	0	-2.625722
6000	-0.6335167	0	-0.6335167
6100	-2.54869	0	-2.54869
6200	-0.2742162	0	-0.2742162
6300	-1.028309	0	-1.028309
6400	-0.6966126	0	-0.6966126
6500	-0.2645223	0	-0.2645223
6600	-0.1329493	0	-0.1329493
6700	-0.5768649	0	-0.5768649
6800	-1.029924	0	-1.029924
6900	-0.2978065	0	-0.2978065
7000	-0.5497783	0	-0.5497783
7100	-0.6573606	0	-0.6573606
7200	-2.208695	0	-2.208695
7300	-0.4200973	0	-0.4200973
7400	-0.3184925	0	-0.3184925
7500	-0.2437301	0	-0.2437301
7600	-0.3541712	0	-0.3541712
7700	-0.6966996	0	-0.6966996
7800	-0.3237654	0	-0.3237654
7900	-0.9918909	0	-0.9918909
8000	-0.2038793	0	-0.2038793
8100	-1.163799	0	-1.163799
8200	-0.3453103	0	-0.3453103
8300	-0.4466992	0	-0.4466992
8400	-0.0855572	0	-0.0855572
8500	-0.09517519	0	-0.09517519
8600	-2.208912	0	-2.208912
8700	-0.6298437	0	-0.6298437
8800	-0.008700405	0	-0.008700405
8900	-1.109007	0	-1.109007
9000	-1.134444	0	-1.134444
9100	-1.500856	0	-1.500856
9200	-1.485229	0	-1.485229
9300	-0.1251743	0	-0.1251743
9400	-0.8657919	0	-0.8657919
9500	-0.6978471	0	-0.6978471
9600	-0.9829358	0	-0.9829358
9700	-0.7668371	0	-0.7668371
9800	-1.495219	0	-1.495219
9900	-1.023931	0	-1.023931
10000	-0.2090474	0	-0.2090474
10100	-2.661863	0	-2.661863
10200	-1.303343	0	-1.303343
10300	-0.9720216	0	-0.9720216
10400	-1.061621	0	-1.061621
10500	-0.1738099	0	-0.1738099
10600	-0.394937	0	-0.394937
10700	-0.2490417	0	-0.2490417
10800	-0.8178841	0	-0.8178841
10900	-1.403307	0	-1.403307
11000	-0.2655415	0	-0.2655415
11100	-0.04080932	0	-0.04080932
11200	-0.03230148	0	-0.03230148
11300	-1.239715	0	-1.239715
11400	-0.4567481	0	-0.4567481
11500	-2.055148	0	-2.055148
11600	-0.237068	0	-0.237068
11700	-0.8310572	0	-0.8310572
11800	-3.173202	0	-3.173202
11900	-0.4640967	0	-0.4640967
12000	-0.9933552	0	-0.9933552
12100	-1.381806	0	-1.381806
12200	-0.7474465	0	-0.7474465
12300	-0.3875331	0	-0.3875331
12400	-1.373348	0	-1.373348
12500	-0.5983484	0	-0.5983484
12600	-0.4147633	0	-0.4147633
12700	-1.430664	0	-1.430664
