Iteration	Posterior	Likelihood	Prior
0	-0.671199	0	-0.671199
100	-0.5857735	0	-0.5857735
200	-1.167178	0	-1.167178
300	-1.01272	0	-1.01272
400	-1.283742	0	-1.283742
500	-5.814014	0	-5.814014
600	-0.5151865	0	-0.5151865
700	-0.1928534	0	-0.1928534
800	-0.2875483	0	-0.2875483
900	-2.36473	0	-2.36473
1000	-0.2056528	0	-0.2056528
1100	-1.592808	0	-1.592808
1200	-0.2390134	0	-0.2390134
1300	-0.9437752	0	-0.9437752
1400	-0.73686	0	-0.73686
1500	-0.615477	0	-0.615477
1600	-0.8217024	0	-0.8217024
1700	-0.7655035	0	-0.7655035
1800	-0.2619942	0	-0.2619942
1900	-0.6780499	0	-0.6780499
2000	-1.69809	0	-1.69809
2100	-0.5424662	0	-0.5424662
2200	-0.3710434	0	-0.3710434
2300	-1.699343	0	-1.699343
2400	-1.769185	0	-1.769185
2500	-0.4165968	0	-0.4165968
2600	-0.4854221	0	-0.4854221
2700	-0.1755655	0	-0.1755655
2800	-0.07521121	0	-0.07521121
2900	-0.3198637	0	-0.3198637
3000	-0.1250796	0	-0.1250796
3100	-0.08562019	0	-0.08562019
3200	-0.1070133	0	-0.1070133
3300	-0.0214836	0	-0.0214836
3400	-1.502884	0	-1.502884
3500	-0.6539048	0	-0.6539048
3600	-0.9821131	0	-0.9821131
3700	-1.229171	0	-1.229171
3800	-0.1970372	0	-0.1970372
3900	-0.9740045	0	-0.9740045
4000	-2.5566	0	-2.5566
4100	-1.551668	0	-1.551668
4200	-0.7511329	0	-0.7511329
4300	-0.1541207	0	-0.1541207
4400	-2.746353	0	-2.746353
4500	-1.57135	0	-1.57135
4600	-2.450544	0	-2.450544
4700	-0.9865977	0	-0.9865977
4800	-0.01378044	0	-0.01378044
4900	-0.4368575	0	-0.4368575
5000	-2.437371	0	-2.437371
5100	-0.2323693	0	-0.2323693
5200	-0.3684028	0	-0.3684028
5300	-0.1717959	0	-0.1717959
5400	-1.446929	0	-1.446929
5500	-1.961184	0	-1.961184
5600	-0.5169258	0	-0.5169258
5700	-1.077608	0	-1.077608
5800	-1.738523	0	-1.738523
5900	-1.330141	0	-1.330141
6000	-0.2076737	0	-0.2076737
6100	-0.4476824	0	-0.4476824
6200	-1.5379	0	-1.5379
6300	-0.4366794	0	-0.4366794
6400	-0.02783201	0	-0.02783201
6500	-0.1876354	0	-0.1876354
6600	-1.877685	0	-1.877685
6700	-0.1636412	0	-0.1636412
6800	-2.083233	0	-2.083233
6900	-0.426815	0	-0.426815
7000	-0.5014348	0	-0.5014348
7100	-0.8862906	0	-0.8862906
7200	-1.605068	0	-1.605068
7300	-0.5103765	0	-0.5103765
7400	-1.862427	0	-1.862427
7500	-0.5165961	0	-0.5165961
7600	-1.889252	0	-1.889252
7700	-0.6055911	0	-0.6055911
7800	-0.2760021	0	-0.2760021
7900	-0.3341423	0	-0.3341423
8000	-0.07299593	0	-0.07299593
8100	-0.04346319	0	-0.04346319
8200	-0.4003583	0	-0.4003583
8300	-1.054443	0	-1.054443
8400	-0.3580036	0	-0.3580036
8500	-0.7120512	0	-0.7120512
8600	-1.736672	0	-1.736672
8700	-2.140453	0	-2.140453
8800	-0.9514159	0	-0.9514159
8900	-0.2601784	0	-0.2601784
9000	-2.608299	0	-2.608299
9100	-0.1378678	0	-0.1378678
9200	-0.3361545	0	-0.3361545
9300	-0.549644	0	-0.549644
9400	-0.1021763	0	-0.1021763
9500	-5.28306	0	-5.28306
9600	-1.262835	0	-1.262835
9700	-2.21754	0	-2.21754
9800	-1.4217	0	-1.4217
9900	-0.603981	0	-0.603981
10000	-1.912375	0	-1.912375
