Iteration	Posterior	Likelihood	Prior
0	-0.1262568	0	-0.1262568
100	-0.832736	0	-0.832736
200	-1.087533	0	-1.087533
300	-0.7035386	0	-0.7035386
400	-0.9072295	0	-0.9072295
500	-0.08219471	0	-0.08219471
600	-1.412132	0	-1.412132
700	-0.4697901	0	-0.4697901
800	-0.04337556	0	-0.04337556
900	-0.2475425	0	-0.2475425
1000	-0.3873323	0	-0.3873323
1100	-0.2898332	0	-0.2898332
1200	-0.159308	0	-0.159308
1300	-0.5530224	0	-0.5530224
1400	-0.4474549	0	-0.4474549
1500	-0.988384	0	-0.988384
1600	-0.1949921	0	-0.1949921
1700	-3.910471	0	-3.910471
1800	-0.9230093	0	-0.9230093
1900	-0.3053877	0	-0.3053877
2000	-0.6299991	0	-0.6299991
2100	-0.2130754	0	-0.2130754
2200	-2.591784	0	-2.591784
2300	-0.1101644	0	-0.1101644
2400	-0.341016	0	-0.341016
2500	-0.04191798	0	-0.04191798
2600	-1.263177	0	-1.263177
2700	-0.4151069	0	-0.4151069
2800	-1.029228	0	-1.029228
2900	-0.1584769	0	-0.1584769
3000	-3.255864	0	-3.255864
3100	-0.7269831	0	-0.7269831
3200	-0.7942026	0	-0.7942026
3300	-0.4098804	0	-0.4098804
3400	-0.9737201	0	-0.9737201
3500	-0.2085009	0	-0.2085009
3600	-1.416195	0	-1.416195
3700	-1.71949	0	-1.71949
3800	-1.322331	0	-1.322331
3900	-4.044268	0	-4.044268
4000	-0.7694899	0	-0.7694899
4100	-1.064377	0	-1.064377
4200	-0.7966974	0	-0.7966974
4300	-0.1945306	0	-0.1945306
4400	-0.0648938	0	-0.0648938
4500	-0.04084723	0	-0.04084723
4600	-0.1416811	0	-0.1416811
4700	-0.3846863	0	-0.3846863
4800	-1.75064	0	-1.75064
4900	-0.1757411	0	-0.1757411
5000	-0.3944037	0	-0.3944037
5100	-0.2456438	0	-0.2456438
5200	-2.168059	0	-2.168059
5300	-0.1758286	0	-0.1758286
5400	-2.071949	0	-2.071949
5500	-3.393079	0	-3.393079
5600	-0.9010774	0	-0.9010774
5700	-0.0265695	0	-0.0265695
5800	-3.546057	0	-3.546057
5900	-0.5571697	0	-0.5571697
6000	-0.2531621	0	-0.2531621
6100	-0.299981	0	-0.299981
6200	-0.6107503	0	-0.6107503
6300	-4.330019	0	-4.330019
6400	-0.5242397	0	-0.5242397
6500	-1.507467	0	-1.507467
6600	-0.5747002	0	-0.5747002
6700	-0.4472715	0	-0.4472715
6800	-0.3477936	0	-0.3477936
6900	-0.4074249	0	-0.4074249
7000	-0.4545627	0	-0.4545627
7100	-0.6794149	0	-0.6794149
7200	-0.4637349	0	-0.4637349
7300	-1.586593	0	-1.586593
7400	-0.3791861	0	-0.3791861
7500	-3.018687	0	-3.018687
7600	-2.826892	0	-2.826892
7700	-0.8987926	0	-0.8987926
7800	-1.653814	0	-1.653814
7900	-0.6145058	0	-0.6145058
8000	-0.5256747	0	-0.5256747
8100	-0.8160489	0	-0.8160489
8200	-0.2286268	0	-0.2286268
8300	-0.5493114	0	-0.5493114
8400	-1.467234	0	-1.467234
8500	-0.8272863	0	-0.8272863
8600	-0.7627048	0	-0.7627048
8700	-1.201797	0	-1.201797
8800	-0.2366243	0	-0.2366243
8900	-2.33894	0	-2.33894
9000	-2.914494	0	-2.914494
9100	-0.5695428	0	-0.5695428
9200	-0.5051245	0	-0.5051245
9300	-0.6984333	0	-0.6984333
9400	-0.2702586	0	-0.2702586
9500	-0.03998571	0	-0.03998571
9600	-0.2661416	0	-0.2661416
9700	-0.1493138	0	-0.1493138
9800	-0.9574493	0	-0.9574493
9900	-1.156937	0	-1.156937
10000	-0.860278	0	-0.860278
