"","by_ki","by_n_ki","by_t_ki","ns_ki","ns_n_ki","hg_ki","hg2_ki"
"104",NA,NA,NA,NA,NA,NA,NA
"157",116.278678965051,NA,79.8369731530497,116.549361353924,NA,48.9029367463698,79.2226937938617
"175",65.7223262575156,70.1885157152388,57.4839320624391,50.2254755621618,65.1376091828272,47.4498564936977,81.538504336828
"450",143.48687525511,151.823778686942,153.379623892023,163.754876918318,135.233412546712,179.04933471221,NA
"493",273.462278432613,244.587547065083,NA,NA,204.711806527561,242.967079471606,NA
"563",118.973894091311,155.348694123814,120.988272913085,105.362728709109,NA,90.1057517153186,NA
"635",310.655135528983,241.415011690694,NA,NA,273.654515731782,270.830688453023,NA
"675",113.266667287897,121.572542404014,NA,NA,135.753871577257,154.771008547043,NA
"692",NA,NA,NA,NA,NA,NA,NA
"706",242.733582106711,NA,475.765111252783,NA,NA,221.401880057195,NA
"748",NA,NA,NA,NA,NA,NA,NA
"950",NA,NA,NA,NA,NA,NA,NA
"1113",146.815190275384,193.220693994649,152.85060592313,131.771501057057,171.068552701529,146.046480375396,NA
"1210",NA,NA,362.64819133631,329.944862371437,346.810082758909,355.023798024834,NA
"1271",184.025439263789,175.445035926326,203.166585148831,217.74855197312,197.16314286316,195.888171064189,NA
"2131",127.522015830646,94.0536224726032,108.948571718316,140.935770443765,141.56697096392,143.209114673561,NA
"2553",96.0163830833289,123.554913819888,150.681326748781,185.827149081395,136.032418307738,161.415548655254,128.79099973775
"2800",116.219718734047,NA,NA,NA,NA,66.5606645822915,NA
"3199",102.196058342093,82.0885894186359,95.946486814334,95.0041882032683,87.0313951340438,44.861111506454,49.0114807940752
"3200",NA,NA,NA,NA,NA,NA,NA
"3244",178.534273650145,169.23467279818,218.488218207586,170.635976067123,163.719033608178,162.24753259783,NA
"3351",47.1135230949506,50.2327970531772,104.693988462956,74.233107190223,52.2697372574796,51.5325787925882,NA
"3392",105.932260637126,74.0667188533746,79.9116445569854,74.3613746513675,76.1095590177882,NA,49.1172181669752
"3405",62.0868600771872,71.161483916489,72.2911069776742,65.744170647731,57.1265710364475,82.6387044240973,75.3537741291824
"3408",138.984253103048,152.865149277874,143.926511310765,127.545302119642,133.164735368888,135.245407762034,NA
"3445",103.333011258307,135.686535503258,119.740677142586,125.200073213149,112.074853879587,103.201741839554,122.342337137329
"3448",NA,NA,NA,NA,NA,NA,NA
"3603",114.847312144766,105.108505766399,109.16126062156,85.2695871414983,124.122406943218,94.0975592109376,NA
"3646",55.9795410648774,35.2562996837623,63.9443192534534,41.4434328462211,53.0843715991214,42.9469338020327,NA
"3655",81.173331605853,91.0422597650135,78.7439412223937,82.043948393432,122.650467525074,66.3669592143587,NA
"3705",102.250787191119,105.230303160289,151.777340449737,147.816106445396,111.502959395454,46.1376314180037,NA
"3710",328.54842823739,368.631000784056,371.828060707698,359.557316270303,365.845104673693,358.915117467041,NA
"3711",66.5737090683701,69.8489972203383,66.8591202260015,78.0339636800454,69.5725023780067,68.7458182362323,53.5487549828057
"3755",163.325393001382,79.6525681378793,94.5139728426164,NA,134.107693837614,91.536261233383,93.2002447437324
"3757",NA,NA,NA,NA,NA,NA,NA
"3804",NA,NA,NA,NA,NA,NA,NA
"3832",NA,NA,NA,NA,NA,NA,NA
"3833",66.9866703422219,83.1870428740513,71.168430253416,99.6573556595508,71.0491683115375,73.2390898874192,NA
"3927",NA,NA,NA,NA,NA,NA,NA
"3929",128.150555662713,82.3414831041394,113.728557517446,112.715159478843,118.447010379572,147.049826353266,NA
"4111",95.1791249197983,71.5180470145334,92.8029428581197,110.437027348805,92.562051430416,NA,NA
"4220",96.857082943055,107.258112327382,100.450020831322,147.03486392756,112.581595755728,133.94895173971,NA
"4230",59.1720783053196,69.3807125864604,64.1557393177624,48.3971899105972,69.5392225997158,56.4464478452805,41.3499270403967
"4291",NA,NA,NA,NA,NA,NA,NA
"4305",198.643000776647,199.170253609339,187.208829690954,219.332885138509,169.050789898627,188.540648511835,NA
"4308",134.859810272265,138.510140235206,126.151314385407,136.036491886276,110.875088785868,75.8843093561293,125.722290518584
"4309",136.143188665123,127.965316114606,122.602002344466,153.835516314146,107.1578383495,162.393235606817,152.775760073862
"4310",209.730095533392,135.49966420848,173.576644299429,169.557817210497,179.83340139744,196.365538348664,NA
"4467",94.5496405603969,119.780612099751,99.6624897415453,148.889562374992,113.247122888544,135.98586787393,107.571925145697
"4649",NA,NA,NA,NA,NA,NA,NA
"4747",213.684625238747,179.847494411379,190.283029085484,239.963401902064,212.943735860442,191.071078787036,NA
"4761",109.364501589063,95.0055118544549,NA,NA,NA,107.186360865809,118.706680226676
"4790",233.971542896587,217.744071208766,NA,NA,226.461606531701,194.05748541369,NA
"4867",43.9796112522395,NA,NA,61.0654713194798,NA,44.8578386939692,NA
"4910",72.7042014688185,87.4962453671329,NA,NA,NA,56.1413580672381,NA
"5099",101.160207711918,88.8843496927971,NA,NA,NA,103.272047127844,NA
"5186",78.4919579083774,83.1371152240212,NA,NA,60.8048933401049,73.9004473540938,NA
"5201",59.2231816774123,71.7150513056702,NA,NA,90.1721368761474,92.9668043598878,82.4602027474643
"5228",NA,NA,NA,NA,NA,NA,NA
"5230",81.8573490934112,NA,NA,NA,NA,83.1862386403556,NA
"5255",NA,276.687087733553,NA,NA,NA,231.084618748974,NA
"5268",101.451283590821,NA,NA,NA,NA,74.4801162684999,NA
"5327",NA,NA,NA,NA,NA,NA,NA
"07203",50.5661148254111,47.0681548321836,36.457526435546,35.2947718125349,NA,46.6948454934308,NA
