task,pID,scriptID,jobID,State,endTime,seconds,nCPU,ReqMem,maxRSS,tmpUsed
mcmcmc,07205,hg2_kv,15202305,TIMEOUT,1762418306,255623,16,241000M,127113108000,NA
mcmcmc,07205,hg_b_kv,15202303,TIMEOUT,1762418216,255605,16,241000M,127329552000,NA
mcmcmc,07202,ns_kv,15202181,TIMEOUT,1762411105,255602,16,30704M,30211136000,NA
mcmcmc,748,ns_t_ki,15202180,COMPLETED,1762274118,118765,16,17898M,7876312000,0
mcmcmc,157,ns_t_ki,15207604,COMPLETED,1762262138,11455,16,52886M,41087248000,0
marginal,950,ns_t_ki,15207664,COMPLETED,1762253598,151,8,8512M,1118948000,0
mcmcmc,692,by_nn_ki,15207605,COMPLETED,1762251455,767,16,64016M,51451544000,0
mcmcmc,157,by_nn_ki,15207603,COMPLETED,1762251213,538,16,53302M,42504216000,0
mcmcmc,4111,by_nn_ki,15207615,COMPLETED,1762250900,115,16,17290M,7882780000,0
mcmcmc,692,by_nt_ki,15207614,COMPLETED,1762250794,12,16,62954M,0,NA
marginal,3708,ns_n_ki,15047901,COMPLETED,1762184825,312264,128,98146M,53332644000,0
mcmcmc,3707,by_nn_ki,15202179,OUT_OF_MEMORY,1762184107,104,16,710170M,554751876000,NA
marginal,3707,by_nn_ki,15192875,OUT_OF_MEMORY,1762184002,83,128,413704M,306689188000,NA
marginal,691,by_nn_ki,15192874,TIMEOUT,1762166376,259207,128,413704M,241715672000,NA
marginal,5327,ns_t_ki,15202297,COMPLETED,1762162576,7,43,140231M,0,NA
mcmcmc,5327,ns_t_ki,15192721,TIMEOUT,1762152577,255613,16,42600M,28314740000,NA
mcmcmc,4867,ns_t_ki,15192724,TIMEOUT,1762152577,255609,16,17583M,7853008000,NA
mcmcmc,5228,ns_t_ki,15192720,TIMEOUT,1762152576,255614,16,27056M,18497376000,NA
mcmcmc,3804,ns_t_ki,15192754,COMPLETED,1762104310,203208,16,34159M,20178096000,0
mcmcmc,4291,hg_b_ki,15191426,TIMEOUT,1762101860,259202,16,44164M,31477464000,NA
mcmcmc,4291,hg2_ki,15188992,TIMEOUT,1762077737,255618,16,43572M,28356912000,NA
mcmcmc,4649,by_ki,15188751,TIMEOUT,1762075876,255627,16,39048M,26371852000,NA
mcmcmc,748,ns_t_ki,15188393,TIMEOUT,1762073807,255622,16,17811M,7876880000,NA
mcmcmc,692,ns_t_ki,15188394,COMPLETED,1762072103,253918,16,63289M,51023100000,0
mcmcmc,5327,hg2_ki,15183093,COMPLETED,1761935300,255630,16,49387M,32082708000,0
marginal,691,by_nn_ki,15192863,OUT_OF_MEMORY,1761906163,13,128,241000M,0,NA
marginal,4285,by_nn_ki,15192860,OUT_OF_MEMORY,1761906133,15,128,241000M,0,NA
mcmcmc,3804,ns_t_ki,15192737,OUT_OF_MEMORY,1761899040,6,16,19899M,0,NA
mcmcmc,5201,by_nt_ki,15192727,COMPLETED,1761897467,117,16,17365M,9759012000,NA
mcmcmc,5201,ns_t_ki,15192722,COMPLETED,1761897105,141,16,18046M,9568652000,0
mcmcmc,07203,by_nn_ki,15190660,COMPLETED,1761835251,77,16,18977M,9395552000,0
mcmcmc,563,by_n_ki,15188987,COMPLETED,1761822557,501,16,24751M,17944640000,0
