task,pID,scriptID,jobID,State,endTime,seconds,nCPU,ReqMem,maxRSS,tmpUsed
mcmcmc,4291,hg_b_ki,15188349,COMPLETED,1761822181,5265,16,44164M,31377456000,0
mcmcmc,3763,hg_ki,15173988,TIMEOUT,1761819886,259211,16,129929M,71834784000,NA
mcmcmc,3832,ns_t_ki,15188401,COMPLETED,1761818341,5,16,22621M,0,NA
mcmcmc,3408,ns_t_ki,15188399,COMPLETED,1761818316,10,16,16197M,0,NA
mcmcmc,4230,by_t_ki,15188348,COMPLETED,1761817406,520,16,51674M,36250380000,0
mcmcmc,3351,ns_t_ki,15174006,COMPLETED,1761817275,256429,16,17056M,12560480000,0
mcmcmc,4790,ns_n_ki,15173978,TIMEOUT,1761816286,255617,16,122321M,91256504000,NA
mcmcmc,2800,by_ki,15173981,TIMEOUT,1761816286,255615,16,32786M,13404440000,NA
mcmcmc,2800,hg2_ki,15173982,TIMEOUT,1761816286,255615,16,37805M,21954948000,NA
mcmcmc,175,ns_n_ki,15173984,TIMEOUT,1761816286,255615,16,15386M,10836.5,NA
mcmcmc,2800,by_nt_ki,15173985,TIMEOUT,1761816286,255611,16,18298M,11892540000,NA
mcmcmc,684,by_nn_ki,15173914,COMPLETED,1761815508,255705,16,133285M,73382820000,0
mcmcmc,3448,ns_nt_ki,15173915,COMPLETED,1761815508,255705,16,34017M,24821252000,0
mcmcmc,691,by_nn_ki,15173921,COMPLETED,1761815483,255677,16,131994M,79482144000,0
mcmcmc,5327,ns_t_ki,15173919,COMPLETED,1761815429,255623,16,42600M,28256248000,0
mcmcmc,563,by_n_ki,15188244,OUT_OF_MEMORY,1761814799,9,16,14418M,0,NA
marginal,3804,ns_t_ki,15180377,COMPLETED,1761808688,163837,128,129660M,63203588000,0
mcmcmc,3804,ns_nt_ki,15173916,COMPLETED,1761793664,233861,16,32247M,20078264000,0
mcmcmc,5186,hg_b_ki,15184284,COMPLETED,1761754697,5345,16,22199M,4967236000,0
marginal,5255,by_n_ki,15186279,COMPLETED,1761753142,207,8,4870M,1120120000,0
mcmcmc,5228,by_nn_ki,15173989,COMPLETED,1761671504,110829,16,26750M,19191740000,0
mcmcmc,4649,ns_t_ki,15173918,COMPLETED,1761656749,96943,16,47714M,25820456000,0
marginal,3804,ns_t_ki,15173996,OUT_OF_MEMORY,1761640975,20,128,75532M,0,NA
marginal,4103,by_nn_ki,15171193,COMPLETED,1761633027,258711,128,152293M,79911200000,0
mcmcmc,5327,ns_nt_ki,15171198,TIMEOUT,1761622465,255626,16,43189M,28379636000,NA
marginal,5327,by_nn_ki,15171192,COMPLETED,1761588010,213932,128,140741M,90067844000,0
marginal,692,ns_t_ki,15171195,COMPLETED,1761566568,175011,43,200834M,44139948000,0
mcmcmc,5255,ns_t_ki,15173917,COMPLETED,1761559816,13,16,18874M,0,NA
mcmcmc,3351,ns_t_ki,15168482,TIMEOUT,1761557112,255626,16,18710M,13152088000,NA
marginal,3448,ns_t_ki,15163609,COMPLETED,1761523109,162384,128,77987M,62621484000,0
marginal,157,ns_t_ki,15171194,COMPLETED,1761511869,134920,32,194196M,31993256000,0
mcmcmc,3405,ns_t_ki,15168483,COMPLETED,1761505315,203829,16,22939M,17955936000,0
marginal,5228,ns_t_ki,15164115,COMPLETED,1761492529,127330,128,70655M,56306720000,0
marginal,5327,ns_t_ki,15171196,TIMEOUT,1761479947,106754,10,140231M,7727528000,NA
mcmcmc,5228,by_nn_ki,15166996,TIMEOUT,1761478747,255621,16,26750M,19203296000,NA
mcmcmc,4649,ns_n_ki,15166675,TIMEOUT,1761455017,255628,16,45496M,26359600000,NA
mcmcmc,4649,ns_nt_ki,15171197,COMPLETED,1761427305,60466,16,46919M,26229408000,0
marginal,3711,ns_t_ki,15171199,COMPLETED,1761424108,57269,10,8297M,2726084000,0
mcmcmc,691,by_nn_ki,15165845,TIMEOUT,1761420967,255606,16,131994M,85118148000,NA
mcmcmc,4649,ns_t_ki,15163909,TIMEOUT,1761418086,259226,16,47714M,25932580000,NA
marginal,2131,ns_t_ki,15171200,COMPLETED,1761417673,50834,8,5419M,1811108000,0
mcmcmc,5228,ns_t_ki,15168473,COMPLETED,1761402242,101057,16,27056M,17512620000,0
mcmcmc,3448,ns_t_ki,15163906,COMPLETED,1761395360,255585,16,34865M,24924896000,0
marginal,4230,ns_t_ki,15167036,COMPLETED,1761382201,153636,43,43607M,31694196000,0
mcmcmc,5255,ns_t_ki,15163726,TIMEOUT,1761381933,259202,16,20654M,2965200000,NA
mcmcmc,4867,ns_t_ki,15163711,COMPLETED,1761379108,256438,16,17894M,10636704000,0
mcmcmc,2800,ns_t_ki,15163591,COMPLETED,1761378240,256509,16,19572M,14025244000,0
mcmcmc,684,by_nn_ki,15157716,TIMEOUT,1761376113,259222,16,133285M,69570884000,NA
mcmcmc,3804,ns_nt_ki,15163410,TIMEOUT,1761369874,259208,16,32247M,20079980000,NA
mcmcmc,3448,ns_nt_ki,15163409,TIMEOUT,1761369873,259207,16,34017M,24917912000,NA
marginal,5327,ns_t_ki,15168427,OUT_OF_MEMORY,1761365228,12,128,81690M,0,NA
marginal,692,ns_t_ki,15168373,OUT_OF_MEMORY,1761365213,14,128,119979M,0,NA
mcmcmc,4649,ns_nt_ki,15161900,TIMEOUT,1761363633,259203,16,46919M,25676.5,NA
marginal,157,ns_t_ki,15163539,OUT_OF_MEMORY,1761360712,17,128,113127M,0,NA
marginal,3711,ns_t_ki,15168484,TIMEOUT,1761360692,59176,8,8047M,2211852000,NA
mcmcmc,4761,ns_t_ki,15168494,COMPLETED,1761349668,47881,16,53240M,30478500000,0
marginal,4103,by_nn_ki,15157696,OUT_OF_MEMORY,1761344636,14,128,88717M,0,NA
marginal,5327,by_nn_ki,15157695,OUT_OF_MEMORY,1761344610,18,128,81987M,0,NA
marginal,3351,ns_t_ki,15168302,COMPLETED,1761330378,49553,43,24931M,14329532000,0
marginal,2131,ns_t_ki,15168487,TIMEOUT,1761327209,25693,8,6273M,1810932000,NA
mcmcmc,07203,ns_t_ki,15168428,COMPLETED,1761323261,26366,16,18300M,9599208000,0
marginal,4867,ns_t_ki,15168419,COMPLETED,1761321248,24444,10,7377M,2484340000,0
mcmcmc,2131,ns_t_ki,15168490,COMPLETED,1761314928,13201,16,17815M,6691956000,0
mcmcmc,3711,ns_t_ki,15168485,COMPLETED,1761313609,12093,16,19605M,9808984000,0
mcmcmc,4649,hg_m_ki,15168518,COMPLETED,1761311336,8162,16,54373M,35734572000,0
marginal,1113,ns_t_ki,15168697,COMPLETED,1761310592,2864,8,5365M,1209708000,0
marginal,4291,ns_t_ki,15166678,COMPLETED,1761310475,111086,10,11074M,4248512000,0
mcmcmc,3708,ns_ki,15165841,COMPLETED,1761305230,141763,16,74690M,45067172000,0
marginal,1113,ns_t_ki,15168474,TIMEOUT,1761305159,3854,8,5322M,1201472000,NA
mcmcmc,748,ns_ki,15168526,COMPLETED,1761304291,545,16,15895M,7533948000,0
mcmcmc,3708,by_t_ki,15165842,COMPLETED,1761304177,140156,16,76754M,43488304000,0
mcmcmc,1113,ns_t_ki,15168479,COMPLETED,1761303063,1607,16,16768M,4304212000,0
mcmcmc,3757,ns_t_ki,15163907,COMPLETED,1761302556,162781,16,27314M,15382452000,0
mcmcmc,3927,ns_t_ki,15168493,COMPLETED,1761302106,319,16,34019M,19204720000,0
marginal,4649,ns_t_ki,15163700,COMPLETED,1761301917,179308,43,35044M,28630424000,0
mcmcmc,675,ns_t_ki,15168477,COMPLETED,1761301439,13,16,16824M,0,NA
mcmcmc,4291,ns_t_ki,15168410,COMPLETED,1761298921,2208,16,21193M,18269908000,0
marginal,675,ns_t_ki,15168371,COMPLETED,1761297922,1542,8,4151M,1181632000,0
mcmcmc,3392,ns_t_ki,15168387,COMPLETED,1761297767,1266,16,36029M,23080304000,0
mcmcmc,4230,ns_t_ki,15168409,COMPLETED,1761297220,507,16,59584M,36127048000,0
mcmcmc,3603,ns_t_ki,15168391,COMPLETED,1761297090,529,16,15111M,4996504000,0
mcmcmc,5230,ns_t_ki,15168425,COMPLETED,1761296993,129,16,15911M,4831208000,0
mcmcmc,3200,ns_t_ki,15168384,COMPLETED,1761296992,491,16,37088M,21909084000,0
mcmcmc,3655,ns_t_ki,15168394,COMPLETED,1761296981,389,16,15953M,7.552e+09,0
mcmcmc,4910,ns_t_ki,15168420,COMPLETED,1761296954,150,16,15888M,5473344000,0
mcmcmc,3705,ns_t_ki,15168395,COMPLETED,1761296953,361,16,18130M,14786796000,0
mcmcmc,5268,ns_t_ki,15168426,COMPLETED,1761296951,87,16,14991M,3188236000,0
mcmcmc,563,ns_t_ki,15168369,COMPLETED,1761296889,539,16,26929M,17988504000,0
mcmcmc,5099,ns_t_ki,15168421,COMPLETED,1761296888,54,16,14915M,3429400000,NA
mcmcmc,5228,ns_t_ki,15168424,OUT_OF_MEMORY,1761296871,7,16,15761M,0,NA
mcmcmc,5186,ns_t_ki,15168422,COMPLETED,1761296864,30,16,16777M,3372000,NA
mcmcmc,4308,ns_t_ki,15168412,COMPLETED,1761296840,97,16,16340M,9673940000,0
mcmcmc,4790,ns_t_ki,15168418,COMPLETED,1761296814,10,16,15018M,0,NA
mcmcmc,4467,ns_t_ki,15168415,COMPLETED,1761296798,25,16,15207M,0,NA
mcmcmc,4747,ns_t_ki,15168416,COMPLETED,1761296789,16,16,15123M,0,NA
mcmcmc,4761,ns_t_ki,15168417,OUT_OF_MEMORY,1761296789,16,16,31014M,0,NA
mcmcmc,4309,ns_t_ki,15168413,COMPLETED,1761296770,27,16,15683M,0,NA
mcmcmc,4310,ns_t_ki,15168414,COMPLETED,1761296765,22,16,15242M,0,NA
mcmcmc,4111,ns_t_ki,15168407,COMPLETED,1761296760,78,16,16043M,7941600000,0
mcmcmc,3833,ns_t_ki,15168404,COMPLETED,1761296756,104,16,15892M,7383020000,0
mcmcmc,4305,ns_t_ki,15168411,COMPLETED,1761296738,25,16,16533M,0,NA
mcmcmc,3929,ns_t_ki,15168406,COMPLETED,1761296719,37,16,15772M,6225240000,NA
mcmcmc,4220,ns_t_ki,15168408,COMPLETED,1761296707,25,16,15377M,0,NA
mcmcmc,3755,ns_t_ki,15168399,COMPLETED,1761296680,58,16,14667M,9825716000,NA
mcmcmc,3927,ns_t_ki,15168405,OUT_OF_MEMORY,1761296667,15,16,19817M,0,NA
mcmcmc,3710,ns_t_ki,15168396,COMPLETED,1761296619,27,16,15842M,0,NA
mcmcmc,3646,ns_t_ki,15168393,COMPLETED,1761296604,43,16,16007M,4908160000,NA
mcmcmc,3445,ns_t_ki,15168390,COMPLETED,1761296551,20,16,14839M,0,NA
mcmcmc,175,ns_t_ki,15168366,COMPLETED,1761296540,190,16,17103M,10841884000,0
mcmcmc,104,ns_t_ki,15168364,COMPLETED,1761296525,206,16,18543M,14131516000,0
mcmcmc,2553,ns_t_ki,15168382,COMPLETED,1761296524,53,16,16728M,6051420000,NA
mcmcmc,3244,ns_t_ki,15168385,COMPLETED,1761296516,15,16,15923M,0,NA
mcmcmc,3199,ns_t_ki,15168383,COMPLETED,1761296505,34,16,15061M,5152836000,NA
mcmcmc,1210,ns_t_ki,15168378,COMPLETED,1761296458,18,16,13802M,0,NA
mcmcmc,1271,ns_t_ki,15168379,COMPLETED,1761296454,14,16,15534M,0,NA
mcmcmc,493,ns_t_ki,15168368,COMPLETED,1761296427,77,16,17944M,12357996000,0
mcmcmc,706,ns_t_ki,15168375,COMPLETED,1761296425,15,16,15445M,0,NA
mcmcmc,635,ns_t_ki,15168370,COMPLETED,1761296391,11,16,18028M,0,NA
mcmcmc,450,ns_t_ki,15168367,COMPLETED,1761296369,19,16,12230M,0,NA
marginal,563,ns_t_ki,15164116,COMPLETED,1761282559,122903,43,39414M,20698980000,0
marginal,104,ns_t_ki,15166677,COMPLETED,1761278618,79229,10,8700M,4037548000,0
marginal,3200,ns_t_ki,15163595,COMPLETED,1761253703,131942,43,28832M,21918468000,0
marginal,4308,ns_t_ki,15166679,COMPLETED,1761246659,47270,10,6255M,2934896000,0
marginal,3392,ns_t_ki,15163601,COMPLETED,1761243904,122113,43,28234M,26236444000,0
mcmcmc,3392,ns_nt_ki,15161896,COMPLETED,1761240119,135720,16,37090M,22753716000,0
marginal,3351,ns_t_ki,15163599,TIMEOUT,1761239996,118205,10,4885M,3299180000,NA
marginal,4761,ns_t_ki,15163705,COMPLETED,1761232650,110011,43,39241M,28326164000,0
marginal,175,ns_t_ki,15163540,COMPLETED,1761225490,104062,10,6581M,2923184000,0
marginal,4230,ns_t_ki,15163645,TIMEOUT,1761224183,102180,10,22533M,7398608000,NA
marginal,3405,ns_t_ki,15163603,COMPLETED,1761219750,97959,10,8714M,4442996000,0
mcmcmc,3763,by_nn_ki,15157717,COMPLETED,1761216002,255661,16,123866M,61052260000,0
mcmcmc,3708,hg_b_ki,15165843,COMPLETED,1761215555,51504,16,86068M,52231916000,0
mcmcmc,4285,by_nn_ki,15157705,COMPLETED,1761205812,255675,16,138203M,88160944000,0
marginal,3655,ns_t_ki,15165844,COMPLETED,1761200888,38824,10,5929M,2453192000,0
marginal,3927,ns_t_ki,15163694,COMPLETED,1761200036,77518,43,28454M,19444260000,0
marginal,3833,ns_t_ki,15165908,COMPLETED,1761199242,35652,10,5921M,2382596000,0
marginal,3705,ns_t_ki,15163619,COMPLETED,1761198305,76423,10,7882M,3596772000,0
mcmcmc,4817,by_nn_ki,15157719,COMPLETED,1761198239,255652,16,87210M,46176424000,0
mcmcmc,3345,by_nn_ki,15157703,COMPLETED,1761196670,255677,16,60920M,40097832000,0
mcmcmc,5327,by_nn_ki,15157706,COMPLETED,1761196624,255631,16,43911M,28142032000,0
marginal,5230,ns_t_ki,15165601,COMPLETED,1761182955,24402,8,5315M,1530556000,0
marginal,4308,ns_t_ki,15163651,TIMEOUT,1761182597,60564,8,4362M,2353608000,NA
marginal,3757,ns_t_ki,15163628,COMPLETED,1761182484,60572,43,23184M,16273696000,0
marginal,104,ns_t_ki,15163538,TIMEOUT,1761180857,59429,8,5807M,3301544000,NA
marginal,4291,ns_t_ki,15163647,TIMEOUT,1761179207,57204,8,8452M,3417016000,NA
marginal,4111,ns_t_ki,15163641,COMPLETED,1761174357,52385,10,4969M,2411924000,0
marginal,2800,ns_t_ki,15163590,COMPLETED,1761168403,46672,10,7327M,3131492000,0
marginal,3755,ns_t_ki,15163626,COMPLETED,1761164000,42088,8,3272M,2122516000,0
marginal,3833,ns_t_ki,15163635,TIMEOUT,1761162465,40523,8,3731M,1868812000,NA
marginal,5201,ns_t_ki,15163719,COMPLETED,1761161337,38637,43,25596M,12137512000,0
marginal,493,ns_t_ki,15163542,COMPLETED,1761160301,38873,8,5634M,2660340000,0
marginal,3655,ns_t_ki,15163616,TIMEOUT,1761159794,37942,8,4044M,1951576000,NA
mcmcmc,3708,hg_b_ki,15164429,OUT_OF_MEMORY,1761159762,15,16,50138M,0,NA
mcmcmc,3708,by_t_ki,15164427,OUT_OF_MEMORY,1761159608,13,16,44712M,44988624000,NA
marginal,07203,ns_t_ki,15163731,COMPLETED,1761159426,36665,8,3514M,2148524000,0
mcmcmc,3708,ns_ki,15164426,OUT_OF_MEMORY,1761159399,18,16,43510M,0,NA
mcmcmc,5327,hg2_ki,15164130,OUT_OF_MEMORY,1761159369,19,16,28770M,0,NA
marginal,748,ns_t_ki,15163666,COMPLETED,1761151967,29753,8,5664M,1973652000,0
marginal,3603,ns_t_ki,15163612,COMPLETED,1761149823,27971,8,2981M,1547496000,0
marginal,3929,ns_t_ki,15163639,COMPLETED,1761142861,20889,8,3964M,1680552000,0
marginal,3199,ns_t_ki,15163673,COMPLETED,1761139091,16786,8,2602M,1509724000,0
marginal,4467,ns_t_ki,15163897,COMPLETED,1761136749,8950,8,3340M,1379096000,0
marginal,450,ns_t_ki,15164117,COMPLETED,1761136390,3219,8,1369M,1254016000,0
marginal,4309,ns_t_ki,15163653,COMPLETED,1761135913,13880,8,4629M,1504964000,0
marginal,4969,by_ki,15164176,OUT_OF_MEMORY,1761135384,7,8,771M,380696000,NA
marginal,3646,ns_t_ki,15163614,COMPLETED,1761135207,13355,8,3912M,1482364000,0
marginal,3710,ns_t_ki,15163621,COMPLETED,1761135205,13323,8,3799M,1302880000,0
marginal,4305,ns_t_ki,15163649,COMPLETED,1761134037,12004,8,4903M,1419588000,0
marginal,5186,ns_t_ki,15163899,COMPLETED,1761133541,5712,8,4709M,1255464000,0
marginal,2553,ns_t_ki,15163588,COMPLETED,1761133266,11535,8,5108M,1701388000,0
marginal,4220,ns_t_ki,15163696,COMPLETED,1761133110,10562,8,3598M,1383028000,0
marginal,563,ns_t_ki,15163903,OUT_OF_MEMORY,1761132624,35,43,22960M,13167048000,NA
marginal,5228,ns_t_ki,15163900,OUT_OF_MEMORY,1761132560,31,43,22444M,22201004000,NA
marginal,4910,ns_t_ki,15163712,COMPLETED,1761130744,8074,8,4277M,1604916000,0
marginal,450,ns_t_ki,15164045,OUT_OF_MEMORY,1761130719,8,8,797M,0,NA
marginal,4747,ns_t_ki,15163898,COMPLETED,1761130532,2733,8,4283M,1223160000,0
marginal,5099,ns_t_ki,15163714,COMPLETED,1761129440,6770,8,2558M,1319288000,0
marginal,1210,ns_t_ki,15163581,COMPLETED,1761127353,5653,8,1563M,1301112000,0
marginal,3445,ns_t_ki,15163607,COMPLETED,1761127006,5185,8,3507M,1387464000,0
marginal,4310,ns_t_ki,15163655,COMPLETED,1761126189,4126,8,3522M,1296040000,0
marginal,3244,ns_t_ki,15163597,COMPLETED,1761125440,3679,8,3910M,1289372000,0
marginal,5268,ns_t_ki,15163727,COMPLETED,1761125357,2626,8,3756M,1236180000,0
marginal,1271,ns_t_ki,15163583,COMPLETED,1761123921,2221,8,3466M,1213536000,0
mcmcmc,4103,by_nn_ki,15157699,COMPLETED,1761123724,182731,16,32513M,28346812000,0
marginal,4790,ns_t_ki,15163707,COMPLETED,1761123246,607,8,3712M,1171824000,0
marginal,3408,ns_t_ki,15163605,COMPLETED,1761123231,1410,8,4699M,1170308000,0
marginal,5255,ns_t_ki,15163725,COMPLETED,1761122928,197,8,7129M,1124972000,0
mcmcmc,5327,ns_t_ki,15163730,OUT_OF_MEMORY,1761122862,10,16,24816M,0,NA
mcmcmc,4649,ns_t_ki,15163701,OUT_OF_MEMORY,1761122621,12,16,27795M,0,NA
mcmcmc,4230,ns_t_ki,15163697,OUT_OF_MEMORY,1761122562,14,16,34710M,0,NA
mcmcmc,3757,ns_t_ki,15163686,OUT_OF_MEMORY,1761122463,6,16,15911M,0,NA
mcmcmc,3448,ns_t_ki,15163682,OUT_OF_MEMORY,1761122376,10,16,20310M,0,NA
mcmcmc,3392,ns_t_ki,15163680,OUT_OF_MEMORY,1761122342,7,16,20988M,0,NA
mcmcmc,3200,ns_t_ki,15163675,OUT_OF_MEMORY,1761122312,7,16,21605M,0,NA
mcmcmc,563,ns_t_ki,15163659,OUT_OF_MEMORY,1761122191,7,16,15687M,0,NA
marginal,3832,ns_t_ki,15163633,COMPLETED,1761122071,129,8,16064M,1121616000,0
marginal,706,ns_t_ki,15163574,COMPLETED,1761122040,370,8,4986M,1166784000,0
marginal,635,ns_t_ki,15163544,COMPLETED,1761121771,312,8,7150M,1107416000,0
mcmcmc,07203,ns_nt_ki,15163529,COMPLETED,1761121392,85,16,17834M,9609376000,0
mcmcmc,3755,ns_nt_ki,15163528,COMPLETED,1761121363,56,16,14332M,9864532000,NA
mcmcmc,3804,ns_nt_ki,15161899,OUT_OF_MEMORY,1761099531,14,16,18785M,0,NA
mcmcmc,3448,ns_nt_ki,15161897,OUT_OF_MEMORY,1761099500,14,16,19816M,0,NA
mcmcmc,4649,by_nn_ki,15157718,COMPLETED,1761006013,63787,16,45247M,26606792000,0
mcmcmc,3670,by_nn_ki,15157704,COMPLETED,1760986170,45177,16,72876M,41864592000,0
mcmcmc,563,by_nn_ki,15157792,COMPLETED,1760955752,681,16,25341M,17596160000,0
marginal,748,ns_ki,15157809,COMPLETED,1760955488,26,8,4682M,0,NA
mcmcmc,5228,by_nn_ki,15157795,OUT_OF_MEMORY,1760955121,19,16,15583M,0,NA
mcmcmc,692,ns_n_ki,15157715,COMPLETED,1760942578,1465,16,62608M,52000816000,0
marginal,3763,by_nn_ki,15146406,TIMEOUT,1760941875,259210,128,241000M,172658084000,NA
mcmcmc,684,by_nn_ki,15157697,OUT_OF_MEMORY,1760941034,41,16,77644M,68679152000,NA
mcmcmc,3763,by_nn_ki,15157698,OUT_OF_MEMORY,1760941014,21,16,72157M,0,NA
mcmcmc,4649,by_nn_ki,15157700,OUT_OF_MEMORY,1760941011,18,16,26358M,0,NA
mcmcmc,4817,by_nn_ki,15157701,OUT_OF_MEMORY,1760941010,17,16,50803M,0,NA
marginal,684,by_nn_ki,15145187,TIMEOUT,1760935065,259221,128,241000M,191164524000,NA
mcmcmc,4285,by_nn_ki,15145193,TIMEOUT,1760905124,259227,16,138203M,91209480000,NA
mcmcmc,5327,by_nn_ki,15145282,TIMEOUT,1760900294,259211,16,43911M,27837252000,NA
mcmcmc,3345,by_nn_ki,15144693,TIMEOUT,1760888354,259209,16,60920M,33746904000,NA
mcmcmc,3670,by_nn_ki,15144695,TIMEOUT,1760888354,259209,16,72876M,41123724000,NA
mcmcmc,4103,by_nn_ki,15144687,TIMEOUT,1760888324,259210,16,36G,29269868000,NA
mcmcmc,4649,by_nn_ki,15144689,TIMEOUT,1760888324,259210,16,31479M,27647012000,NA
mcmcmc,4817,by_nn_ki,15144690,TIMEOUT,1760888324,259210,16,55033M,46075100000,NA
mcmcmc,3763,by_nn_ki,15144683,TIMEOUT,1760888294,259210,16,76272M,61058156000,NA
marginal,4103,by_nn_ki,15144666,TIMEOUT,1760888204,259210,43,45615M,30014208000,NA
marginal,5327,by_nn_ki,15144646,TIMEOUT,1760887934,259210,43,39469M,33166500000,NA
mcmcmc,748,ns_ki,15141890,TIMEOUT,1760856254,255611,16,17141M,7625856000,NA
mcmcmc,3708,by_nn_ki,15144679,COMPLETED,1760852835,223781,16,48773M,42502224000,0
marginal,692,by_nn_ki,15145189,COMPLETED,1760840831,162224,128,200834M,125469392000,0
marginal,4649,by_nn_ki,15146388,COMPLETED,1760832557,153757,128,155189M,7.6001e+10,0
mcmcmc,3392,by_nn_ki,15145281,COMPLETED,1760828853,188011,16,35340M,23127572000,0
marginal,07203,by_nn_ki,15152050,COMPLETED,1760826180,34387,8,7645M,2111164000,0
mcmcmc,4790,ns_n_ki,15144461,OUT_OF_MEMORY,1760825771,203141,16,71257M,70713244000,NA
mcmcmc,3448,by_nn_ki,15144694,COMPLETED,1760813351,184206,16,42622M,25668956000,0
marginal,5228,by_nn_ki,15144670,COMPLETED,1760806992,131178,128,79500M,56652196000,0
marginal,3448,by_nn_ki,15144657,COMPLETED,1760796842,167077,128,83457M,63070648000,0
marginal,3804,by_nn_ki,15144664,COMPLETED,1760794872,165084,128,81774M,63458044000,0
marginal,4291,by_nn_ki,15146417,COMPLETED,1760778861,96143,10,11802M,4757396000,0
marginal,4761,by_nn_ki,15144519,COMPLETED,1760768251,144630,43,39804M,28066168000,0
marginal,563,by_nn_ki,15144639,COMPLETED,1760764707,136048,43,28650M,20803284000,0
marginal,4230,by_nn_ki,15144644,COMPLETED,1760761333,132609,43,49510M,35167248000,0
marginal,104,by_nn_ki,15146519,COMPLETED,1760761057,72754,10,9418M,4049616000,0
marginal,157,by_nn_ki,15144460,COMPLETED,1760748427,125797,43,64367M,37735428000,0
marginal,4308,by_nn_ki,15146418,COMPLETED,1760743016,60268,10,7123M,2931800000,0
marginal,2131,by_nn_ki,15146432,COMPLETED,1760737805,54106,8,4713M,1812040000,0
mcmcmc,3200,by_nn_ki,15145280,COMPLETED,1760737188,96255,16,36149M,22971288000,0
mcmcmc,3804,by_nn_ki,15144684,COMPLETED,1760735839,106755,16,23399M,20353544000,0
marginal,3200,by_nn_ki,15144640,COMPLETED,1760732534,102794,128,85212M,56013412000,0
marginal,3655,by_nn_ki,15146444,COMPLETED,1760722576,38814,8,5539M,1955940000,0
marginal,3392,by_nn_ki,15144641,COMPLETED,1760720577,90831,128,84938M,68317624000,0
mcmcmc,4230,by_nn_ki,15145241,COMPLETED,1760719447,78755,16,35565M,35843640000,0
marginal,3927,by_nn_ki,15144665,COMPLETED,1760697533,67743,128,85564M,48903828000,0
marginal,3705,by_nn_ki,15144642,COMPLETED,1760697156,68462,10,13375M,3671460000,0
