Iteration	Likelihood	Prior	p	r
0	-5.338254	1.123645	0.117894	0.117894
100	-1.812292	-1.734085	0.403667	0.403667
200	-1.762802	-1.609091	0.3911676	0.3911676
300	-1.724351	-1.477486	0.3780071	0.3780071
400	-1.695556	-1.092185	0.339477	0.339477
500	-2.665568	0.1632179	0.2139367	0.2139367
600	-2.070608	-0.3136074	0.2616192	0.2616192
700	-1.913657	-0.5110526	0.2813638	0.2813638
800	-4.154179	0.8089021	0.1493683	0.1493683
900	-1.721355	-1.464625	0.376721	0.376721
1000	-2.019809	-0.3714008	0.2673986	0.2673986
1100	-2.065751	-0.3189346	0.262152	0.262152
1200	-2.567227	0.1003559	0.2202229	0.2202229
1300	-2.674329	0.1686166	0.2133968	0.2133968
1400	-1.782871	-1.663668	0.3966253	0.3966253
1500	-2.534225	0.07825478	0.222433	0.222433
1600	-1.741635	-0.8623178	0.3164903	0.3164903
1700	-1.731604	-0.8965357	0.3199121	0.3199121
1800	-1.755036	-0.821681	0.3124266	0.3124266
1900	-4.215019	0.8279742	0.1474611	0.1474611
2000	-2.589047	0.1146793	0.2187906	0.2187906
2100	-1.805867	-0.6983096	0.3000895	0.3000895
2200	-1.829085	-0.6518415	0.2954427	0.2954427
2300	-1.69187	-1.250398	0.3552983	0.3552983
2400	-1.894094	-0.5405942	0.2843179	0.2843179
2500	-1.77732	-0.7629127	0.3065498	0.3065498
2600	-3.083369	0.391542	0.1911043	0.1911043
2700	-2.206636	-2.318454	0.4621039	0.4621039
2800	-3.209564	0.4510696	0.1851515	0.1851515
2900	-2.930741	0.3143003	0.1988285	0.1988285
3000	-3.222438	0.456943	0.1845642	0.1845642
3100	-1.778666	-1.652754	0.3955339	0.3955339
3200	-4.467325	0.903195	0.139939	0.139939
3300	-2.219667	-0.1661347	0.246872	0.246872
3400	-1.963192	-2.006779	0.4309364	0.4309364
3500	-1.713135	-0.9735723	0.3276157	0.3276157
3600	-1.697077	-1.319035	0.362162	0.362162
3700	-2.963705	0.3315134	0.1971072	0.1971072
3800	-1.692769	-1.128065	0.3430651	0.3430651
3900	-4.826585	1.000764	0.1301821	0.1301821
4000	-3.238949	0.4644247	0.183816	0.183816
4100	-2.797203	0.241225	0.206136	0.206136
4200	-1.937297	-1.966597	0.4269182	0.4269182
4300	-1.847232	-0.6183654	0.292095	0.292095
4400	-1.807989	-0.6938658	0.2996451	0.2996451
4500	-7.730186	1.53248	0.07701054	0.07701054
4600	-2.013296	-0.3791668	0.2681752	0.2681752
4700	-2.240265	-0.1477767	0.2450362	0.2450362
4800	-1.69186	-1.144896	0.3447482	0.3447482
4900	-2.169633	-2.27668	0.4579265	0.4579265
5000	-1.740962	-0.8644992	0.3167084	0.3167084
5100	-4.06027	0.7786932	0.1523892	0.1523892
5200	-1.713994	-1.430113	0.3732698	0.3732698
5300	-1.712276	-0.9778405	0.3280426	0.3280426
5400	-1.853661	-0.607011	0.2909596	0.2909596
5500	-4.933285	1.027835	0.127475	0.127475
5600	-1.811451	-0.6867074	0.2989292	0.2989292
5700	-4.773526	0.9869938	0.1315591	0.1315591
5800	-1.76066	-1.602849	0.3905434	0.3905434
5900	-3.312258	0.496968	0.1805617	0.1805617
6000	-2.251961	-0.1375353	0.244012	0.244012
6100	-2.177115	-0.2054442	0.2508029	0.2508029
6200	-2.606703	0.1261075	0.2176478	0.2176478
6300	-3.664652	0.6398676	0.1662717	0.1662717
6400	-2.353497	-0.05355944	0.2356145	0.2356145
6500	-2.459668	0.02623667	0.2276348	0.2276348
6600	-1.824616	-0.6604414	0.2963026	0.2963026
6700	-3.777876	0.6816718	0.1620913	0.1620913
6800	-2.265516	-0.1258231	0.2428408	0.2428408
6900	-1.886649	-0.5522439	0.2854829	0.2854829
7000	-3.748159	0.6708722	0.1631713	0.1631713
7100	-2.560215	0.09570452	0.2206881	0.2206881
7200	-4.921732	1.024943	0.1277642	0.1277642
7300	-1.71996	-1.458424	0.3761009	0.3761009
7400	-1.904621	-0.5245137	0.2827099	0.2827099
7500	-1.692633	-1.264921	0.3567507	0.3567507
