Iteration	Likelihood	Prior	p	r
0	-14.07266	2.019734	0.02828508	0.02828508
100	-2.599019	0.1211515	0.2181434	0.2181434
200	-2.395693	-0.02096536	0.232355	0.232355
300	-2.36154	-0.04725084	0.2349836	0.2349836
400	-1.937457	-0.4769735	0.2779559	0.2779559
500	-1.793073	-1.68918	0.3991765	0.3991765
600	-1.709586	-0.9918027	0.3294388	0.3294388
700	-1.708161	-1.398721	0.3701306	0.3701306
800	-1.766842	-1.62062	0.3923205	0.3923205
900	-1.82529	-1.762515	0.40651	0.40651
1000	-2.024809	-0.3654971	0.2668082	0.2668082
1100	-1.88424	-1.877256	0.4179842	0.4179842
1200	-3.370135	0.5219174	0.1780668	0.1780668
1300	-1.690671	-1.189195	0.349178	0.349178
1400	-3.57171	0.6041588	0.1698426	0.1698426
1500	-2.611167	0.1289752	0.217361	0.217361
1600	-2.77105	0.2262323	0.2076353	0.2076353
1700	-2.037216	-0.3510593	0.2653644	0.2653644
1800	-2.213654	-0.1715737	0.2474159	0.2474159
1900	-1.863993	-1.840059	0.4142644	0.4142644
2000	-3.275551	0.4808085	0.1821777	0.1821777
2100	-3.065908	0.3830109	0.1919574	0.1919574
2200	-1.949807	-0.4600034	0.2762588	0.2762588
2300	-2.328953	-0.07310336	0.2375688	0.2375688
2400	-1.748835	-0.8398737	0.3142459	0.3142459
2500	-1.690977	-1.225077	0.3527662	0.3527662
2600	-4.619228	0.9457215	0.1356864	0.1356864
2700	-1.788441	-0.7365743	0.3039159	0.3039159
2800	-2.02067	-0.3703804	0.2672965	0.2672965
2900	-1.899428	-1.903932	0.4206517	0.4206517
3000	-2.252	-0.1375012	0.2440086	0.2440086
3100	-1.895482	-0.5384489	0.2841034	0.2841034
3200	-2.962748	0.331018	0.1971567	0.1971567
3300	-3.2518	0.4702085	0.1832377	0.1832377
3400	-1.944047	-0.4678613	0.2770446	0.2770446
3500	-1.931606	-0.4851773	0.2787762	0.2787762
3600	-3.023911	0.3621801	0.1940405	0.1940405
3700	-2.025058	-0.3652043	0.2667789	0.2667789
3800	-1.693344	-1.119285	0.342187	0.342187
